First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
,0.008725459644749143,Missing or Undisclosed,,Cherokee ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.010330578512396695
,,Missing or Undisclosed,,Beaufort ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,,Missing or Undisclosed,,Lee ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.1526394422310757,1.0,Missing or Undisclosed,0.0697211155378486,Tyrrell ,Ethnicity,Suppressed,County,Missing or Undisclosed,Missing or Undisclosed,1.0
,0.0007234145165179648,Missing or Undisclosed,,Bertie ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
0.14223917505551703,0.6076417204719402,Female,0.07881491288905701,Wake ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.6176301054018445
,,Missing or Undisclosed,,Iredell ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.09242144177449169,0.006064281382656155,Missing or Undisclosed,0.053604436229205174,Granville ,Race,Missing or Undisclosed,County,Asian or Pacific Islander,Missing or Undisclosed,0.00556515064287085
0.0702651466302133,0.8286061896433732,Missing or Undisclosed,0.04269944030331949,Onslow ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.8390775468829194
0.08683696120332637,0.22332041068461636,Missing or Undisclosed,0.06404267302786337,Forsyth ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.26449560428283103
