First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
0.21069367250961948,0.7957010949089258,Missing or Undisclosed,0.12715102607952117,Craven ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.851099982114112
0.0005945303210463733,0.0001863932898415657,Missing or Undisclosed,0.0005945303210463733,Hoke ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00030543677458766036
0.20112155198545015,0.25933163963259726,Missing or Undisclosed,0.1250378902697787,Currituck ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.24286134824845454
0.12592340741198652,0.40420676654430004,Male,0.06144716100516181,Rutherford ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.3938973647711512
,,Missing or Undisclosed,,Person ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,0.0015188690267554622,Missing or Undisclosed,,Harnett ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0010750586395621578
0.10551395507147719,0.01666487474465111,Missing or Undisclosed,0.02450646698434309,Macon ,Race,Missing or Undisclosed,County,Suppressed,Missing or Undisclosed,0.011260556771973726
0.15246045694200352,0.19529735476205368,Missing or Undisclosed,0.07850029291154072,Burke ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.15584415584415584
0.08993309475649604,0.04384833634253288,Missing or Undisclosed,0.04328613661117162,Durham ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.03335331495024577
,0.05573380867498514,Missing or Undisclosed,,Davie ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00603687387828357
,0.007561185912316774,Missing or Undisclosed,,Carteret ,Race,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0005823433496389472
