Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
62538,61509,192338,178265,38647,76287,36818,,Missing,9329,26824,76211,82664,7781,73624,90020,19708,81378,,38671,196423,188407,7124,28045,92091,,89167,92075,24367,69600,179036,,26824,40138,39551,,88227,62764,38671,58240,26772,90023,189615,8647
28390,28199,40327,38001,330,29870,12590,76972,Wilson,221,496,29860,11211,1731,29518,11570,10638,10351,81801,330,43028,39999,1761,500,12658,15337,12454,12655,10885,28540,40247,63224,496,12907,354,69710,11470,28401,330,27320,496,11572,42468,261
1750,1745,1892,1799,,1829,657,3827,Tyrrell,,,1827,162,36,1816,141,621,137,4016,,1998,1886,36,,169,810,169,169,636,1732,1894,3288,,672,,3533,141,1751,,1662,,141,1985,
34615,34513,59987,56938,8038,37148,16079,115046,Wayne,1099,10568,37113,16438,2950,36846,17081,12030,15297,123131,8199,66414,59627,3055,10696,18570,20802,18232,18569,12395,35808,62550,94031,10674,17043,8264,103693,16915,34638,8234,33603,10304,17085,65646,1593
8596,8584,11379,10977,122,9100,4337,25757,Montgomery,94,150,9098,2654,471,9066,2639,3772,2471,27173,122,12122,11333,499,184,2838,5743,2812,2838,3863,8843,11647,21266,150,4467,144,23512,2627,8596,122,8384,150,2639,12028,105
19704,19669,28953,27636,273,21042,10079,52801,Lenoir,194,405,21038,8696,1599,20929,8945,8286,8043,55949,273,31210,28854,1643,420,9748,11303,9623,9748,8478,20505,29606,43423,405,10354,301,47933,8912,19707,273,19320,405,8945,30957,233
11695,11678,16219,15534,158,12432,5728,32530,Scotland,99,203,12429,4277,807,12383,4330,4822,3893,34823,158,17465,16157,882,239,4794,6531,4753,4794,4950,12156,16636,26793,203,5955,194,29381,4321,11695,158,11483,203,4330,17339,123
69769,69173,94708,88476,1035,73482,25985,159560,Alamance,654,1398,73460,23425,4035,71926,23878,21296,21871,169509,1035,100601,93766,4337,1424,25695,29035,25153,25694,21848,67970,92793,132145,1398,26915,1043,145046,23558,69787,1035,65570,1398,23878,98477,730
3338,3327,5203,4993,1073,3695,1368,10327,Camden,0,845,3686,760,112,3644,778,1256,742,10867,1073,5382,5176,127,880,807,1833,796,807,1364,3482,5087,8407,845,1491,1085,9354,776,3340,1073,3178,845,778,5285,0
8058,8029,10613,10154,66,8505,2898,20022,Greene,53,84,8501,2341,357,8430,2474,2488,2167,21069,66,11291,10556,374,101,2685,3592,2659,2685,2527,8300,10725,16884,84,2961,80,18372,2461,8059,66,7921,84,2474,11173,60
37451,37287,59260,56275,2879,39502,19166,133830,Rowan,1479,3463,39485,19272,3228,39128,18884,14459,17710,142088,2879,63672,58902,3363,3496,20674,25371,20408,20674,14801,37404,60139,110729,3463,19788,2911,122048,18736,37463,2879,35686,3463,18886,62999,1624
7202,7188,8589,8288,70,7740,3860,18570,Northampton,57,107,7737,1274,294,7681,1301,3509,1189,19483,70,9272,8556,321,123,1409,5256,1399,1409,3599,7482,8863,16132,107,3987,83,17363,1298,7205,70,7029,107,1301,9187,67
20898,20834,30561,29231,184,22771,10658,64946,Wilkes,160,233,22760,9558,1915,22454,9449,8583,8940,68412,184,33145,30455,2038,259,10115,15162,10076,10115,8826,21642,31433,54628,233,11044,206,59783,9437,20906,184,20107,233,9449,32763,180
