First Doses ~ Percent of Population Vaccinated,Demographic,Ethnicity,First Doses ~ Percent of Total,Aggregation Level,Race,Age Group,Gender,Second Doses ~ Percent of Total,Second Doses ~ Percent of Population Vaccinated,County
,Age Group K-12,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Scotland 
0.22135166826564331,Ethnicity,Non-Hispanic,0.9727134324862396,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.9836322869955156,0.11691184308709093,Pasquotank 
0.06075810599991567,Race,Missing or Undisclosed,0.07994452149791956,County,Black or African-American,Missing or Undisclosed,Missing or Undisclosed,0.06208495836407716,0.024834506893789264,Iredell 
,Age Group,Missing or Undisclosed,0.0011117287381878821,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0044444444444444444,,Swain 
0.5096796299468905,Age Group,Missing or Undisclosed,0.32203940246806667,County,Missing or Undisclosed,75+,Missing or Undisclosed,0.4340791420118343,0.40217577522700015,Cabarrus 
,Age Group,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Transylvania 
0.36066705002875216,Age Group,Missing or Undisclosed,0.33946741718986795,County,Missing or Undisclosed,65-74,Missing or Undisclosed,0.19785502958579881,0.12305922944220817,Cabarrus 
0.0683982683982684,Race,Missing or Undisclosed,0.004868429161274419,County,American Indian or Alaskan Native,Missing or Undisclosed,Missing or Undisclosed,0.0049035632559660015,0.03896103896103896,Moore 
,Age Group K-12,Missing or Undisclosed,,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,,Buncombe 
,Race,Missing or Undisclosed,0.03159233868117888,County,Other,Missing or Undisclosed,Missing or Undisclosed,0.02383749049955089,,Buncombe 
0.2992488623279785,Age Group,Missing or Undisclosed,0.35874852109898775,County,Missing or Undisclosed,65-74,Missing or Undisclosed,0.22470746608677644,0.11897582104282033,Davidson 
0.023501762632197415,Race,Missing or Undisclosed,0.0017444395987788923,County,American Indian or Alaskan Native,Missing or Undisclosed,Missing or Undisclosed,0.001743071291615827,0.011750881316098707,Burke 
,Race,Missing or Undisclosed,0.8257031670199639,County,White,Missing or Undisclosed,Missing or Undisclosed,0.8501930501930501,,Missing 
0.17364541676468281,Race,Missing or Undisclosed,0.9141382868937048,County,White,Missing or Undisclosed,Missing or Undisclosed,0.9142685851318945,0.059789853367835016,Currituck 
0.0019015021867275148,Age Group K-12,Missing or Undisclosed,0.0005412426932236414,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0003698224852071006,0.0007606008746910059,Cabarrus 
0.01216281310211946,Age Group K-12,Missing or Undisclosed,0.009822991635868507,County,Missing or Undisclosed,18-24,Missing or Undisclosed,0.015584415584415584,0.007947976878612716,Nash 
,Race,Missing or Undisclosed,0.03359826589595376,County,Other,Missing or Undisclosed,Missing or Undisclosed,0.037315241095226555,,Lincoln 
0.10652275926794932,Age Group K-12,Missing or Undisclosed,0.17210007581501138,County,Missing or Undisclosed,50-64,Missing or Undisclosed,0.19626168224299065,0.0344908493664946,Greene 
0.05641025641025641,Age Group K-12,Missing or Undisclosed,0.12706270627062705,County,Missing or Undisclosed,25-49,Missing or Undisclosed,0.15789473684210525,0.026373626373626374,Tyrrell 
,Gender,Missing or Undisclosed,0.00043271311120726956,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,,Harnett 
0.11880979363782516,Race,Missing or Undisclosed,0.9609891281176721,County,White,Missing or Undisclosed,Missing or Undisclosed,0.9593062041360907,0.037898953693698445,Jackson 
,Gender,Missing or Undisclosed,0.00028832846378594495,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00018276189779954676,,Guilford 
0.1125324114088159,Race,Missing or Undisclosed,0.8511515639143117,County,White,Missing or Undisclosed,Missing or Undisclosed,0.8842681258549931,0.04297586596635862,Cleveland 
,Race,Missing or Undisclosed,0.0004516031913292187,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00026659557451346307,,Watauga 
,Gender,Missing or Undisclosed,0.5709494732179581,County,Missing or Undisclosed,Missing or Undisclosed,Female,0.5844155844155844,,Missing 
0.13771031455742502,Gender,Missing or Undisclosed,0.40571120689655177,County,Missing or Undisclosed,Missing or Undisclosed,Male,0.4107142857142857,0.04206291148500366,Washington 
,Age Group,Missing or Undisclosed,0.0007593254658778118,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0007722007722007723,,Missing 
0.07282260413632391,Age Group K-12,Missing or Undisclosed,0.08674531575294935,County,Missing or Undisclosed,25-49,Missing or Undisclosed,0.08555286521388217,0.03087678415380134,Perquimans 
0.4692515085376813,Age Group,Missing or Undisclosed,0.31122275204359673,County,Missing or Undisclosed,75+,Missing or Undisclosed,0.36875178520422736,0.33149313133906794,Robeson 
0.1499497524501443,Race,Missing or Undisclosed,0.6883941420468975,County,White,Missing or Undisclosed,Missing or Undisclosed,0.7687938786779207,0.08985552676949743,Pitt 
0.09129368719271276,Race,Missing or Undisclosed,0.7074227210080725,County,White,Missing or Undisclosed,Missing or Undisclosed,0.793939393939394,0.04992822024316187,Wayne 
0.07244287849669015,Race,Missing or Undisclosed,0.1893400306962467,County,Black or African-American,Missing or Undisclosed,Missing or Undisclosed,0.13261648745519714,0.02567798419816357,Franklin 
0.1151008847019173,Gender,Missing or Undisclosed,0.3919360253944999,County,Missing or Undisclosed,Missing or Undisclosed,Male,0.3866180682114033,0.06655432356605685,New Hanover 
0.01755366726296959,Age Group,Missing or Undisclosed,0.01647774979009236,County,Missing or Undisclosed,18-24,Missing or Undisclosed,0.020044543429844096,0.010565742397137746,Alamance 
0.058905785701800384,Age Group K-12,Missing or Undisclosed,0.10811677895412256,County,Missing or Undisclosed,50-64,Missing or Undisclosed,0.15008291873963517,0.03163782555497291,Montgomery 
0.0657335057245114,Gender,Missing or Undisclosed,0.38343407404168806,County,Missing or Undisclosed,Missing or Undisclosed,Male,0.373135972157977,0.031742462570502374,Mecklenburg 
0.022827687776141383,Race,Missing or Undisclosed,0.009727016002510198,County,Suppressed,Missing or Undisclosed,Missing or Undisclosed,0.00794135613927917,0.009572901325478646,Cherokee 
,Age Group,Missing or Undisclosed,0.0007870916961826052,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0008084074373484237,,Polk 
,Gender,Missing or Undisclosed,0.0005925675103699314,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,7.888301648655044e-05,,Pitt 
0.08981122059652964,Gender,Missing or Undisclosed,0.3954711468224982,County,Missing or Undisclosed,Missing or Undisclosed,Male,0.3783783783783784,0.047841810158919744,Lee 
,Gender,Missing or Undisclosed,0.0005281225244256667,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,,Randolph 
0.13657011543394612,Race,Missing or Undisclosed,0.8264877102199224,County,White,Missing or Undisclosed,Missing or Undisclosed,0.8690063547082612,0.08038958956819153,Craven 
0.0005945303210463733,Age Group K-12,Missing or Undisclosed,0.00026766595289079225,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0005871990604815032,0.0005945303210463733,Hoke 
0.18854198241891482,Age Group,Missing or Undisclosed,0.2567595459236326,County,Missing or Undisclosed,50-64,Missing or Undisclosed,0.2446043165467626,0.06183692027887239,Currituck 
0.0719253237721386,Gender,Missing or Undisclosed,0.3938727149627624,County,Missing or Undisclosed,Missing or Undisclosed,Male,0.38215488215488214,0.02806540351744815,Rutherford 
,Ethnicity,Missing or Undisclosed,0.0009477290952832252,County,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00015080681646810435,,Chatham 
