county,report_date,reference_date,confirm_death,confirm
Forsyth,2021-10-02,2021-09-28,2,112
Forsyth,2021-10-02,2021-09-16,2,197
Guilford,2021-10-02,2021-09-25,2,119
Guilford,2021-10-02,2021-09-17,2,293
Wake,2021-10-02,2021-09-14,2,426
Guilford,2021-10-02,2021-09-23,2,238
Forsyth,2021-10-02,2021-09-22,2,191
Guilford,2021-10-02,2021-09-21,2,269
Forsyth,2021-10-02,2021-09-19,3,101
Forsyth,2021-10-02,2021-09-26,3,91
Guilford,2021-10-02,2021-09-18,3,137
Wake,2021-10-02,2021-09-15,3,492
Wake,2021-10-02,2021-09-19,3,145
Wake,2021-10-02,2021-09-22,3,398
Forsyth,2021-10-02,2021-09-25,4,62
Forsyth,2021-10-02,2021-09-21,4,177
Guilford,2021-10-02,2021-09-14,4,312
Guilford,2021-10-02,2021-09-15,4,320
Wake,2021-10-02,2021-09-20,4,560
Wake,2021-10-02,2021-09-17,4,397
Guilford,2021-10-02,2021-09-16,6,301
Forsyth,2021-10-03,2021-09-29,0,53
Wake,2021-10-03,2021-09-25,0,223
Wake,2021-10-03,2021-09-29,0,298
Wake,2021-10-03,2021-09-26,0,91
Wake,2021-10-03,2021-09-24,0,314
Guilford,2021-10-03,2021-09-26,0,133
Forsyth,2021-10-03,2021-09-23,0,159
Guilford,2021-10-03,2021-09-29,0,45
Wake,2021-10-03,2021-09-28,0,304
Guilford,2021-10-03,2021-09-28,0,150
Forsyth,2021-10-03,2021-09-27,0,207
Wake,2021-10-03,2021-09-27,0,444
Guilford,2021-10-03,2021-09-22,0,271
Guilford,2021-10-03,2021-09-27,0,273
Guilford,2021-10-03,2021-09-19,1,131
Forsyth,2021-10-03,2021-09-24,1,152
Wake,2021-10-03,2021-09-18,1,310
Forsyth,2021-10-03,2021-09-17,1,190
Forsyth,2021-10-03,2021-09-14,1,244
Forsyth,2021-10-03,2021-09-15,1,251
Forsyth,2021-10-03,2021-09-20,1,239
Wake,2021-10-03,2021-09-21,1,396
Wake,2021-10-03,2021-09-23,1,333
Guilford,2021-10-03,2021-09-24,1,227
Guilford,2021-10-03,2021-09-20,1,323
Wake,2021-10-03,2021-09-16,1,431
Forsyth,2021-10-03,2021-09-18,2,90
Forsyth,2021-10-03,2021-09-28,2,112
Forsyth,2021-10-03,2021-09-16,2,197
Guilford,2021-10-03,2021-09-25,2,119
Guilford,2021-10-03,2021-09-17,2,293
Wake,2021-10-03,2021-09-14,2,426
Guilford,2021-10-03,2021-09-23,2,238
Forsyth,2021-10-03,2021-09-22,2,191
Guilford,2021-10-03,2021-09-21,2,269
Forsyth,2021-10-03,2021-09-19,3,101
Forsyth,2021-10-03,2021-09-26,3,91
Guilford,2021-10-03,2021-09-18,3,137
Wake,2021-10-03,2021-09-15,3,492
Wake,2021-10-03,2021-09-19,3,145
Wake,2021-10-03,2021-09-22,3,398
Forsyth,2021-10-03,2021-09-25,4,62
Forsyth,2021-10-03,2021-09-21,4,177
Guilford,2021-10-03,2021-09-14,4,312
Guilford,2021-10-03,2021-09-15,4,320
Wake,2021-10-03,2021-09-20,4,560
Wake,2021-10-03,2021-09-17,4,397
Guilford,2021-10-03,2021-09-16,6,301
Forsyth,2021-10-04,2021-10-02,0,30
Forsyth,2021-10-04,2021-10-01,0,53
Wake,2021-10-04,2021-10-02,0,197
Guilford,2021-10-04,2021-10-02,0,39
Wake,2021-10-04,2021-10-01,0,253
Wake,2021-10-04,2021-09-30,0,324
Wake,2021-10-04,2021-09-24,0,316
Wake,2021-10-04,2021-09-26,0,92
Guilford,2021-10-04,2021-09-26,0,136
Forsyth,2021-10-04,2021-09-23,0,159
Guilford,2021-10-04,2021-10-01,0,98
Forsyth,2021-10-04,2021-09-27,0,219
Guilford,2021-10-04,2021-09-22,0,271
Guilford,2021-10-04,2021-09-29,0,247
Guilford,2021-10-04,2021-09-19,1,131
Forsyth,2021-10-04,2021-09-24,1,152
Wake,2021-10-04,2021-09-18,1,310
Wake,2021-10-04,2021-09-25,1,223
Forsyth,2021-10-04,2021-09-17,1,188
Forsyth,2021-10-04,2021-09-14,1,243
Forsyth,2021-10-04,2021-09-15,1,251
Forsyth,2021-10-04,2021-09-20,1,238
Wake,2021-10-04,2021-09-21,1,396
Wake,2021-10-04,2021-09-23,1,333
Guilford,2021-10-04,2021-09-24,1,230
Guilford,2021-10-04,2021-09-28,1,250
Guilford,2021-10-04,2021-09-20,1,324
Guilford,2021-10-04,2021-09-27,1,295
Wake,2021-10-04,2021-09-16,1,433
Forsyth,2021-10-04,2021-09-18,2,90
Forsyth,2021-10-04,2021-09-16,2,197
Wake,2021-10-04,2021-09-29,2,375
Guilford,2021-10-04,2021-09-25,2,117
Guilford,2021-10-04,2021-09-17,2,292
Wake,2021-10-04,2021-09-14,2,424
Guilford,2021-10-04,2021-09-23,2,240
Forsyth,2021-10-04,2021-09-22,2,191
Guilford,2021-10-04,2021-09-21,2,267
Forsyth,2021-10-04,2021-09-19,3,102
Forsyth,2021-10-04,2021-09-26,3,93
Forsyth,2021-10-04,2021-09-28,3,151
