county,objectid,county_fips,geoid,total_vax,new_vax,total_population,percent_total,pop_18_up,pop_16_up,update_dts
Beaufort,417,13,37013930400,1534,1534,4724,40.3578005787951,3674,3801,2021-04-29
Beaufort,449,13,37013930600,838,838,3174,30.3733236679956,2648,2759,2021-04-29
Beaufort,713,13,37013930100,1063,1063,4981,26.3314342333416,3929,4037,2021-04-29
Bertie,1376,15,37015960400,1625,1625,6535,29.2581922938423,5412,5554,2021-04-29
Bertie,1463,15,37015960100,1139,1139,5616,23.1692432872254,4809,4916,2021-04-29
Bertie,1588,15,37015960200,615,615,3953,19.4128787878788,3085,3168,2021-04-29
Bertie,1652,15,37015960300,440,440,3276,16,2680,2750,2021-04-29
Bladen,1377,17,37017950400,1425,1425,6281,27.1635531833778,5006,5246,2021-04-29
Bladen,1524,17,37017950500,1126,1126,6646,19.7197898423818,5503,5710,2021-04-29
Bladen,1525,17,37017950600,1207,1207,5752,25.8679811401629,4534,4666,2021-04-29
Bladen,1589,17,37017950200,460,460,3099,18.1459566074951,2471,2535,2021-04-29
Bladen,1708,17,37017950300,1082,1082,6549,21.1452022669533,4974,5117,2021-04-29
Bladen,1749,17,37017950100,1138,1138,5080,28.485607008761,3928,3995,2021-04-29
Brunswick,1309,19,37019020103,3880,3880,8929,52.7747551686616,7062,7352,2021-04-29
Brunswick,1310,19,37019020202,3570,3570,9327,45.8750963762529,7733,7782,2021-04-29
Brunswick,1311,19,37019020304,5351,5351,8049,70.5564345991561,7491,7584,2021-04-29
Brunswick,1312,19,37019020309,1415,1415,2968,52.1562845558422,2669,2713,2021-04-29
Brunswick,1314,19,37019020204,1802,1802,6847,33.4881992194759,5227,5381,2021-04-29
