OBJECTID,COUNTYFP10,GEOID10,TotalVax,TotalPop,PctTotal,NAME10,Pop18Up,Pop16Up,UpdateDTS
1631,025,37025040702,1135,7143,21.5206674251043,Cabarrus,5104,5274,202105041931
1632,025,37025042401,1043,3544,35.7314148681055,Cabarrus,2850,2919,202105041931
1634,025,37025041503,757,4333,22.4562444378523,Cabarrus,3238,3371,202105041931
1635,025,37025041602,642,3982,19.2850705917693,Cabarrus,3241,3329,202105041931
1636,025,37025042502,479,2660,21.5377697841727,Cabarrus,2192,2224,202105041931
1637,025,37025042504,460,1595,34.7694633408919,Cabarrus,1283,1323,202105041931
1638,025,37025042601,1665,5264,38.7299371946964,Cabarrus,4133,4299,202105041931
1700,025,37025040800,611,3760,21.2226467523446,Cabarrus,2817,2879,202105041931
1702,025,37025041702,556,3672,17.9066022544283,Cabarrus,3013,3105,202105041931
1703,025,37025042102,434,3937,14.6720757268425,Cabarrus,2688,2958,202105041931
1727,025,37025042300,946,4078,29.4795886569025,Cabarrus,3178,3209,202105041931
1728,025,37025041902,508,4239,16.4401294498382,Cabarrus,2899,3090,202105041931
1729,025,37025042101,379,3180,16.4282618118769,Cabarrus,2262,2307,202105041931
1730,025,37025040701,240,1671,18.3066361556064,Cabarrus,1294,1311,202105041931
1731,025,37025041901,199,2216,12.7564102564103,Cabarrus,1523,1560,202105041931
172,027,37027031300,2110,8912,28.7975979254811,Caldwell,6888,7327,202105041931
181,027,37027031202,846,4387,24.0477544059125,Caldwell,3464,3518,202105041931
204,027,37027030500,1593,4940,39.5285359801489,Caldwell,3910,4030,202105041931
217,027,37027030200,942,4712,24.4738893219018,Caldwell,3808,3849,202105041931
218,027,37027030100,1177,5448,26.7560809274835,Caldwell,4175,4399,202105041931
242,027,37027031100,1063,4252,30.3194523673702,Caldwell,3440,3506,202105041931
243,027,37027030300,895,4170,26.9334938308757,Caldwell,3197,3323,202105041931
244,027,37027030800,1557,7646,25.064391500322,Caldwell,6057,6212,202105041931
245,027,37027031201,1033,4500,26.5211810012837,Caldwell,3820,3895,202105041931
246,027,37027031402,732,3357,26.5602322206096,Caldwell,2678,2756,202105041931
270,027,37027031000,727,3226,26.6202856096668,Caldwell,2644,2731,202105041931
271,027,37027030400,910,3947,27.3355361970562,Caldwell,3212,3329,202105041931
275,027,37027030900,1038,4695,26.2984545224221,Caldwell,3888,3947,202105041931
276,027,37027030700,1476,7027,24.9408583981075,Caldwell,5742,5918,202105041931
288,027,37027031403,469,2531,23.953013278856,Caldwell,1844,1958,202105041931
293,027,37027031401,722,3423,25.7305773342837,Caldwell,2703,2806,202105041931
294,027,37027030600,1059,4711,27.8318002628121,Caldwell,3724,3805,202105041931
1837,029,37029950102,913,4827,23.9632545931759,Camden,3693,3810,202105041931
1962,029,37029950101,865,5724,19.031903190319,Camden,4465,4545,202105041931
16,031,37031970701,263,1105,28.0383795309168,Carteret,900,938,202105041931
18,031,37031970901,614,1196,58.6437440305635,Carteret,1003,1047,202105041931
20,031,37031970403,465,1230,41.6666666666667,Carteret,1101,1116,202105041931
21,031,37031970702,734,3011,30.0696435886932,Carteret,2317,2441,202105041931
41,031,37031970805,347,1847,23.5893949694086,Carteret,1430,1471,202105041931
42,031,37031970301,1495,4578,40.058949624866,Carteret,3656,3732,202105041931
43,031,37031970802,591,2130,34.7442680776014,Carteret,1628,1701,202105041931
45,031,37031971002,753,1343,62.1287128712871,Carteret,1200,1212,202105041931
78,031,37031970703,1133,5363,25.324094769781,Carteret,4331,4474,202105041931
80,031,37031970704,571,2330,30.259671436142,Carteret,1843,1887,202105041931
100,031,37031970102,605,2394,29.0865384615385,Carteret,1985,2080,202105041931
110,031,37031970601,265,1458,20.8169677926159,Carteret,1250,1273,202105041931
111,031,37031970803,560,1584,43.1765612952968,Carteret,1250,1297,202105041931
112,031,37031970804,1110,3532,40.8689248895434,Carteret,2624,2716,202105041931
115,031,37031970605,609,1408,48.6421725239617,Carteret,1229,1252,202105041931
116,031,37031970801,719,3106,27.8682170542636,Carteret,2490,2580,202105041931
126,031,37031970304,870,2209,46.1293743372216,Carteret,1863,1886,202105041931
127,031,37031970902,571,1379,47.3073736536868,Carteret,1207,1207,202105041931
128,031,37031970504,607,1858,43.3571428571429,Carteret,1353,1400,202105041931
129,031,37031970603,276,1371,23.9791485664639,Carteret,1139,1151,202105041931
131,031,37031970903,547,1128,53.2619279454723,Carteret,1001,1027,202105041931
132,031,37031970604,1010,2167,55.4945054945055,Carteret,1787,1820,202105041931
134,031,37031970501,691,3073,29.2796610169492,Carteret,2329,2360,202105041931
136,031,37031970502,779,2379,38.6025768087215,Carteret,1995,2018,202105041931
137,031,37031970103,724,2743,29.041315683915,Carteret,2395,2493,202105041931
138,031,37031970401,491,1591,33.5153583617747,Carteret,1456,1465,202105041931
139,031,37031970200,387,1260,35.3424657534247,Carteret,1070,1095,202105041931
140,031,37031970302,368,1174,35.4186717998075,Carteret,1011,1039,202105041931
141,031,37031970303,337,1037,33.8693467336683,Carteret,979,995,202105041931
142,031,37031970503,659,2307,34.1273951320559,Carteret,1898,1931,202105041931
143,031,37031971101,413,1268,35.5116079105761,Carteret,1144,1163,202105041931
144,031,37031970101,219,959,25.886524822695,Carteret,840,846,202105041931
145,031,37031970602,453,1157,44.9851042701092,Carteret,962,1007,202105041931
146,031,37031971001,140,520,28.8065843621399,Carteret,472,486,202105041931
147,031,37031971102,164,560,31.1195445920304,Carteret,504,527,202105041931
148,031,37031970402,390,1315,32.8836424957842,Carteret,1157,1186,202105041931
149,031,37031980100,,0,,Carteret,0,0,202105041931
150,031,37031990100,,0,,Carteret,0,0,202105041931
151,031,37031990200,,0,,Carteret,0,0,202105041931
1864,033,37033930200,1215,5376,26.7798104474322,Caswell,4437,4537,202105041931
1879,033,37033930600,1192,5212,28.2799525504152,Caswell,4067,4215,202105041931
1927,033,37033930400,615,2229,30.2062868369352,Caswell,2003,2036,202105041931
2072,033,37033930300,608,3922,18.9113530326594,Caswell,3115,3215,202105041931
2135,033,37033930500,876,3538,30.1652892561983,Caswell,2863,2904,202105041931
2136,033,37033930100,539,2407,26.8292682926829,Caswell,1930,2009,202105041931
892,035,37035010401,1865,7215,31.4821066846725,Catawba,5807,5924,202105041931
893,035,37035010301,1276,4722,33.3072304881232,Catawba,3652,3831,202105041931
943,035,37035010102,1198,4113,35.5068168346177,Catawba,3262,3374,202105041931
944,035,37035010302,1921,5763,40.7682512733447,Catawba,4540,4712,202105041931
975,035,37035011200,1238,6363,23.7255653507091,Catawba,5074,5218,202105041931
983,035,37035011702,1396,7067,25.6052824651504,Catawba,5374,5452,202105041931
1088,035,37035011101,825,3885,25.6609642301711,Catawba,3115,3215,202105041931
1089,035,37035010303,954,4405,27.1408250355619,Catawba,3333,3515,202105041931
1090,035,37035011801,1563,5680,32.0418204182042,Catawba,4686,4878,202105041931
1091,035,37035011503,983,3690,32.3461665021389,Catawba,2971,3039,202105041931
1092,035,37035011401,573,3544,19.8958333333333,Catawba,2787,2880,202105041931
1093,035,37035011601,895,4542,25.4405912450256,Catawba,3333,3518,202105041931
1184,035,37035011802,1046,6331,20.2242846094354,Catawba,4892,5172,202105041931
1185,035,37035010304,664,4478,19.5236695089679,Catawba,3299,3401,202105041931
1186,035,37035010201,880,5000,22.9047371160854,Catawba,3714,3842,202105041931
1187,035,37035010600,1759,6517,33.6071837982423,Catawba,5004,5234,202105041931
1188,035,37035010700,346,2366,17.816683831102,Catawba,1883,1942,202105041931
1189,035,37035011701,1167,4563,31.6003249390739,Catawba,3448,3693,202105041931
1190,035,37035010202,1643,8599,24.2652488554128,Catawba,6520,6771,202105041931
1191,035,37035010900,743,3219,28.0060309084056,Catawba,2555,2653,202105041931
1192,035,37035011300,1147,7036,22.0238095238095,Catawba,4960,5208,202105041931
1193,035,37035011102,1732,7671,29.7696803025095,Catawba,5606,5818,202105041931
1194,035,37035011402,990,3893,30.5367057371993,Catawba,3211,3242,202105041931
1195,035,37035010501,1522,3857,47.4882995319813,Catawba,3035,3205,202105041931
1196,035,37035010502,1362,3501,46.9979296066253,Catawba,2701,2898,202105041931
1223,035,37035011501,920,4725,23.883696780893,Catawba,3731,3852,202105041931
