state,county,date,cases_confirmed_cum,cases_daily,deaths_confirmed_cum,deaths_daily
North Carolina,Beaufort,1/28/2020,0,0,0,0
North Carolina,Beaufort,1/29/2020,0,0,0,0
North Carolina,Beaufort,1/30/2020,0,0,0,0
North Carolina,Beaufort,1/31/2020,0,0,0,0
North Carolina,Beaufort,2/1/2020,0,0,0,0
North Carolina,Beaufort,2/2/2020,0,0,0,0
North Carolina,Beaufort,2/3/2020,0,0,0,0
North Carolina,Beaufort,2/4/2020,0,0,0,0
North Carolina,Beaufort,2/5/2020,0,0,0,0
North Carolina,Beaufort,2/6/2020,0,0,0,0
North Carolina,Beaufort,2/7/2020,0,0,0,0
North Carolina,Beaufort,2/8/2020,0,0,0,0
North Carolina,Beaufort,2/9/2020,0,0,0,0
North Carolina,Beaufort,2/10/2020,0,0,0,0
North Carolina,Beaufort,2/11/2020,0,0,0,0
North Carolina,Beaufort,2/12/2020,0,0,0,0
North Carolina,Beaufort,2/13/2020,0,0,0,0
North Carolina,Beaufort,2/14/2020,0,0,0,0
North Carolina,Beaufort,2/15/2020,0,0,0,0
North Carolina,Beaufort,2/16/2020,0,0,0,0
North Carolina,Beaufort,2/17/2020,0,0,0,0
North Carolina,Beaufort,2/18/2020,0,0,0,0
North Carolina,Beaufort,2/19/2020,0,0,0,0
North Carolina,Beaufort,2/20/2020,0,0,0,0
North Carolina,Beaufort,2/21/2020,0,0,0,0
North Carolina,Beaufort,2/22/2020,0,0,0,0
North Carolina,Beaufort,2/23/2020,0,0,0,0
North Carolina,Beaufort,2/24/2020,0,0,0,0
North Carolina,Beaufort,2/25/2020,0,0,0,0
North Carolina,Beaufort,2/26/2020,0,0,0,0
North Carolina,Beaufort,2/27/2020,0,0,0,0
North Carolina,Beaufort,2/28/2020,0,0,0,0
North Carolina,Beaufort,2/29/2020,0,0,0,0
North Carolina,Beaufort,3/1/2020,0,0,0,0
North Carolina,Beaufort,3/2/2020,0,0,0,0
North Carolina,Beaufort,3/3/2020,0,0,0,0
North Carolina,Beaufort,3/4/2020,0,0,0,0
North Carolina,Beaufort,3/5/2020,0,0,0,0
North Carolina,Beaufort,3/6/2020,0,0,0,0
North Carolina,Beaufort,3/7/2020,0,0,0,0
North Carolina,Beaufort,3/8/2020,0,0,0,0
North Carolina,Beaufort,3/9/2020,0,0,0,0
North Carolina,Beaufort,3/10/2020,0,0,0,0
North Carolina,Beaufort,3/11/2020,0,0,0,0
North Carolina,Beaufort,3/12/2020,0,0,0,0
North Carolina,Beaufort,3/13/2020,0,0,0,0
North Carolina,Beaufort,3/14/2020,0,0,0,0
North Carolina,Beaufort,3/15/2020,0,0,0,0
North Carolina,Beaufort,3/16/2020,0,0,0,0
North Carolina,Beaufort,3/17/2020,0,0,0,0
North Carolina,Beaufort,3/18/2020,0,0,0,0
North Carolina,Bertie,1/22/2020,0,0,0,0
North Carolina,Bertie,1/23/2020,0,0,0,0
North Carolina,Bertie,1/24/2020,0,0,0,0
North Carolina,Bertie,1/25/2020,0,0,0,0
North Carolina,Bertie,1/26/2020,0,0,0,0
North Carolina,Bertie,1/27/2020,0,0,0,0
North Carolina,Bertie,1/28/2020,0,0,0,0
North Carolina,Bertie,1/29/2020,0,0,0,0
North Carolina,Bertie,1/30/2020,0,0,0,0
North Carolina,Bertie,1/31/2020,0,0,0,0
North Carolina,Bertie,2/1/2020,0,0,0,0
North Carolina,Bertie,2/2/2020,0,0,0,0
North Carolina,Bertie,2/3/2020,0,0,0,0
North Carolina,Bertie,2/4/2020,0,0,0,0
North Carolina,Bertie,2/5/2020,0,0,0,0
North Carolina,Bertie,2/6/2020,0,0,0,0
North Carolina,Bertie,2/7/2020,0,0,0,0
North Carolina,Bertie,2/8/2020,0,0,0,0
North Carolina,Bertie,2/9/2020,0,0,0,0
North Carolina,Bertie,2/10/2020,0,0,0,0
North Carolina,Bertie,2/11/2020,0,0,0,0
North Carolina,Bertie,2/12/2020,0,0,0,0
North Carolina,Bertie,2/13/2020,0,0,0,0
North Carolina,Bertie,2/14/2020,0,0,0,0
North Carolina,Bertie,2/15/2020,0,0,0,0
North Carolina,Bertie,2/16/2020,0,0,0,0
North Carolina,Bertie,2/17/2020,0,0,0,0
North Carolina,Bertie,2/18/2020,0,0,0,0
North Carolina,Bertie,2/19/2020,0,0,0,0
North Carolina,Bertie,2/20/2020,0,0,0,0
North Carolina,Bertie,2/21/2020,0,0,0,0
North Carolina,Bertie,2/22/2020,0,0,0,0
North Carolina,Bertie,2/23/2020,0,0,0,0
North Carolina,Bertie,2/24/2020,0,0,0,0
North Carolina,Bertie,2/25/2020,0,0,0,0
North Carolina,Bertie,2/26/2020,0,0,0,0
North Carolina,Bertie,2/27/2020,0,0,0,0
North Carolina,Bertie,2/28/2020,0,0,0,0
North Carolina,Bertie,2/29/2020,0,0,0,0
North Carolina,Bertie,3/1/2020,0,0,0,0
North Carolina,Bertie,3/2/2020,0,0,0,0
North Carolina,Bertie,3/3/2020,0,0,0,0
North Carolina,Bertie,3/4/2020,0,0,0,0
North Carolina,Bertie,3/5/2020,0,0,0,0
North Carolina,Bertie,3/6/2020,0,0,0,0
North Carolina,Bertie,3/7/2020,0,0,0,0
North Carolina,Bertie,3/8/2020,0,0,0,0
North Carolina,Bertie,3/9/2020,0,0,0,0
North Carolina,Bertie,3/10/2020,0,0,0,0
North Carolina,Bertie,3/11/2020,0,0,0,0
North Carolina,Bertie,3/12/2020,0,0,0,0
North Carolina,Bertie,3/13/2020,0,0,0,0
North Carolina,Bertie,3/14/2020,0,0,0,0
North Carolina,Bertie,3/15/2020,0,0,0,0
North Carolina,Bertie,3/16/2020,0,0,0,0
North Carolina,Bertie,3/17/2020,0,0,0,0
North Carolina,Bertie,3/18/2020,0,0,0,0
North Carolina,Bladen,1/22/2020,0,0,0,0
North Carolina,Bladen,1/23/2020,0,0,0,0
North Carolina,Bladen,1/24/2020,0,0,0,0
North Carolina,Bladen,1/25/2020,0,0,0,0
North Carolina,Bladen,1/26/2020,0,0,0,0
North Carolina,Bladen,1/27/2020,0,0,0,0
North Carolina,Bladen,1/28/2020,0,0,0,0
North Carolina,Bladen,1/29/2020,0,0,0,0
North Carolina,Bladen,1/30/2020,0,0,0,0
North Carolina,Bladen,1/31/2020,0,0,0,0
North Carolina,Bladen,2/1/2020,0,0,0,0
North Carolina,Bladen,2/2/2020,0,0,0,0
North Carolina,Bladen,2/3/2020,0,0,0,0
North Carolina,Bladen,2/4/2020,0,0,0,0
North Carolina,Bladen,2/5/2020,0,0,0,0
North Carolina,Bladen,2/6/2020,0,0,0,0
North Carolina,Bladen,2/7/2020,0,0,0,0
North Carolina,Bladen,2/8/2020,0,0,0,0
